film.id,unique.id,sample.year,fest,fest.sect
f2081,1,2013,CANNES,Cannes Classics - Documentaries About Cinema
tffnew391,10,2012,TIFF,discovery: 2012
f2023,10,2013,CANNES,Un Certain Regard
f1160,100,2013,BERLINALE,Forum
f1285,1000,2013,BERLINALE,Retrospective
f3255,1001,2013,TIFF,Wavelength
f6232,1002,2013,IDFA,IDFA Competition for Feature-Length Documentary
f5201,1003,2013,FRAMELINE,"World Cinema, Queer Asian Cinema"
f3349,1004,2013,TIFF,Vanguard
f6233,1005,2013,IDFA,IDFA Competition for Mid-Length Documentary
f6234,1006,2013,IDFA,IDFA Competition for Mid-Length Documentary
f3138,1007,2013,TIFF,Discovery
f17179,1007,2014,BERLINALE,Generation
f3102,1008,2013,TIFF,Special Presentation
f5202,1009,2013,FRAMELINE,Shorts: Generations: Youth and Elders Making Movies
f1009,101,2013,BERLINALE,Competition
f5203,1010,2013,FRAMELINE,Shorts: Fun in Boys Shorts
f3256,1011,2013,TIFF,Wavelength
f1028,1012,2013,BERLINALE,Berlinale Shorts
f6236,1013,2013,IDFA,IDFA Paradocs: Amsterdam Art Weekend at IDFA
f3222,1014,2013,TIFF,City to City: Athens
f17239,1014,2014,BERLINALE,Panorama
f4338,1015,2013,CLERMONT-FERRAND,Ouverture
f3085,1016,2013,TIFF,Special Presentation
f1111,1017,2013,BERLINALE,Panorama
f3188,1018,2013,TIFF,Contemporary World Cinema
f5204,1019,2013,FRAMELINE,Shorts: Disclosure
f6157,102,2013,IDFA,IDFA Top 10
f1162,1020,2013,BERLINALE,Forum
f1039,1021,2013,BERLINALE,Berlinale Shorts
idfnew1838,1021,2017,IDFA,Shifting Perspectives: The Arab World
f1210,1022,2013,BERLINALE,Generation
f2069,1023,2013,CANNES,Cinéfondation
f5205,1024,2013,FRAMELINE,Shorts: Disclosure
f4372,1025,2013,CLERMONT-FERRAND,Water Project
f3263,1026,2013,TIFF,Wavelength
f3262,1027,2013,TIFF,Wavelength
f6238,1028,2013,IDFA,IDFA Competition for Feature-Length Documentary
f1277,103,2013,BERLINALE,Retrospective
f3283,1030,2013,TIFF,Short Cuts Canada
I1405638,1030,2014,CLERMONT-FERRAND,International
f5206,1031,2013,FRAMELINE,World Cinema; First Feature Award
f5208,1032,2013,FRAMELINE,Shorts: Bi Candy ; Shorts: Worldly Affairs
f6240,1033,2013,IDFA,IDFA Competition for Kids & Docs
