Year_int,festival,winning_films,films_list
2011,BERLINALE,2,A Separation; The Iron Lady
2011,CANNES,2,Midnight in Paris; The Artist
2011,IDFA,0,
2011,TIFF,2,The Descendants; Undefeated
2012,BERLINALE,1,Les Misérables
2012,CANNES,1,Amour
2012,IDFA,2,Searching for Sugar Man; Zero Dark Thirty
2012,TIFF,2,Anna Karenina; Argo
2013,BERLINALE,0,
2013,CANNES,2,The Great Beauty; The Great Gatsby
2013,IDFA,1,20 Feet from Stardom
2013,TIFF,3,12 Years a Slave; Dallas Buyers Club; Gravity
2014,BERLINALE,2,Boyhood; Selma
2014,CANNES,0,
2014,IDFA,1,CitizenFour
2014,TIFF,5,Ida; Still Alice; The Imitation Game; The Theory of Everything; Whiplash
2015,BERLINALE,0,
2015,CANNES,4,Amy; Inside Out; Mad Max: Fury Road; Son of Saul
2015,IDFA,0,
2015,TIFF,3,Room; Spotlight; The Danish Girl
2016,BERLINALE,0,
2016,CANNES,1,The Salesman
2016,IDFA,1,O.J.: Made in America
2016,TIFF,5,Arrival; La La Land; Manchester by the Sea; Moonlight; The White Helmets
2017,BERLINALE,2,A Fantastic Woman; Call Me by Your Name
2017,CANNES,1,CARNE y ARENA
2017,IDFA,0,
2017,TIFF,5,"Darkest Hour; Dunkirk; I, Tonya; The Shape of Water; Three Billboards outside Ebbing, Missouri"
2018,BERLINALE,0,
2018,CANNES,0,
2018,IDFA,0,
2018,TIFF,0,
2019,BERLINALE,0,
2019,CANNES,0,
2019,IDFA,0,
2019,TIFF,0,
