imdb.id,title.mixed,sample.year.first,fest.first,oscar_nominated
tt2917506,a story of children and film,2013,CANNES,0
tt2852460,bends,2012,TIFF,0
tt0057494,a legend or was it?,2013,BERLINALE,0
tt0032445,somewhere in the netherlands,2013,BERLINALE,0
tt3613002,song,2013,TIFF,0
tt3003858,song from the forest,2013,IDFA,0
tt2408026,soongava—dance of the orchids,2013,FRAMELINE,0
tt3091254,soul,2013,TIFF,0
tt2919050,soul food stories,2013,IDFA,0
tt3392412,sound of torture,2013,IDFA,0
tt3142242,south is nothing,2013,TIFF,0
tt2446726,southcliffe,2013,TIFF,0
tt2650954,a long and happy life,2013,BERLINALE,0
tt2447552,spooners,2013,FRAMELINE,0
tt3123162,spring,2013,TIFF,0
tt2642662,stab,2013,BERLINALE,0
tt2763624,"standing aside, watching",2013,TIFF,0
tt0487048,starfly,2013,CLERMONT-FERRAND,0
tt2567712,starred up,2013,TIFF,0
tt2324918,state 194,2013,BERLINALE,0
tt2234032,stay,2013,TIFF,0
tt2649748,stay positive,2013,FRAMELINE,0
tt0062043,a man vanishes,2013,IDFA,0
tt2652874,stemple pass,2013,BERLINALE,0
tt1767323,step by step,2013,BERLINALE,0
tt2668950,stepping on the flying grass,2013,BERLINALE,0
tt2707380,stepsister,2013,CANNES,0
tt2448114,stigma,2013,FRAMELINE,0
tt3102458,story of my death,2013,TIFF,0
tt3119416,stray dogs,2013,TIFF,0
tt2971994,stream of love,2013,IDFA,0
tt0026714,a midsummer night's dream,2013,BERLINALE,0
tt3004842,subconscious password,2013,TIFF,0
tt2447336,submerge,2013,FRAMELINE,0
tt2599786,summer vacation,2013,FRAMELINE,0
tt2731546,sunflower seeds,2013,IDFA,0
tt3242834,sunshine on leith,2013,TIFF,0
tt0296881,symbiopsychotaxiplasm: take one,2013,IDFA,0
tt2661940,tabato,2013,BERLINALE,0
tt2751502,a mother's dream,2013,BERLINALE,0
tt0466399,ten canoes,2013,BERLINALE,0
tt2327543,tender,2013,CLERMONT-FERRAND,0
tt2369186,tennis elbow,2013,CLERMONT-FERRAND,0
tt2407380,test,2013,FRAMELINE,0
tt0058203,that man from rio,2013,CANNES,0
tt2635808,the 727 days without karamo,2013,BERLINALE,0
tt2960994,a place in heaven,2013,TIFF,0
tt2776652,the abominable crime,2013,FRAMELINE,0
tt2375605,the act of killing,2012,TIFF,1
tt2190522,the altered lives of lavonne salleé,2013,FRAMELINE,0
tt2414046,the amazing catfish,2013,TIFF,0
tt2713836,the amber amulet,2013,BERLINALE,0
tt3064532,the animal project,2013,TIFF,0
tt0071155,the apprenticeship of duddy kravit,2013,CANNES,0
tt3803600,the art of observing life,2013,IDFA,0
tt2172985,the art of the steal,2013,TIFF,0
tt0222782,the ballad of crowfoot,2013,BERLINALE,0
tt1798091,a pretty funny story,2012,TIFF,0
tt2406138,the banquet of the concubine,2013,CLERMONT-FERRAND,0
tt2674152,the battle of amfar,2013,FRAMELINE,0
tt0210987,the battle of the java sea,2013,IDFA,0
tt3614278,the bed is broken,2013,IDFA,0
tt1924396,the best offer,2013,BERLINALE,0
tt0095250,the big blue,2013,CANNES,0
tt0070130,the big feast,2013,CANNES,0
tt0056869,the birds,2013,CANNES,0
tt2191082,a promise,2013,TIFF,0
tt3031022,the bit player,2013,TIFF,0
tt2132285,the bling ring,2013,CANNES,0
tt2616880,the blue umbrella,2013,BERLINALE,0
tt2024519,the broken circle breakdown,2013,BERLINALE,1
tt2025682,the buried,2013,FRAMELINE,0
tt0461743,the burnt theatre,2013,IDFA,0
tt1783386,the cabin man,2013,CLERMONT-FERRAND,0
tt2926868,the call,2013,IDFA,0
tt2988272,a random desi romance,2013,TIFF,0
tt2411684,the campaign,2013,FRAMELINE,0
tt2106685,the chair,2012,CANNES,0
tt3069670,the chaperone 3d,2013,TIFF,0
tt0038409,the chase,2013,BERLINALE,0
tt2401104,the chase,2013,CLERMONT-FERRAND,0
tt3274676,the coal miner's day,2013,IDFA,0
tt2088924,the cold lands,2013,BERLINALE,0
tt2616720,the companion,2013,FRAMELINE,0
tt3164988,the condemned,2013,IDFA,0
tt2222912,the creator,2013,CLERMONT-FERRAND,0
tt2555176,a self-made man,2013,FRAMELINE,0
tt0481499,the croods,2013,BERLINALE,1
tt2173658,the curse,2013,CLERMONT-FERRAND,0
tt2512582,the dark matter of love,2013,TIFF,0
tt4057438,the death of jamie roldós,2013,IDFA,0
tt0074400,the desert of the tartars,2013,CANNES,0
tt2279558,the devil,2012,IDFA,0
tt3037176,the devil's liar,2013,IDFA,0
tt2701796,the devotion project: foremost in my mind,2013,FRAMELINE,0
tt2193252,the devotion project: my person,2013,FRAMELINE,0
tt3106898,the dick knost show,2013,TIFF,0
tt5343312,berlin ecke bundesplatz - a baker on the bread line,2013,BERLINALE,0
tt2352230,the dinner,2013,TIFF,0
tt2767266,the director: an evolution in three acts,2013,IDFA,0
tt3729920,the disappearance of eleanor rigby: him and her,2013,TIFF,0
tt2860720,the dismantling,2013,TIFF,0
tt3091304,the dog,2013,TIFF,0
tt1825157,the double,2013,TIFF,0
tt3106944,the end of pinky,2013,TIFF,0
tt2768046,the end of the world,2013,BERLINALE,0
tt1540741,a single shot,2013,BERLINALE,0
tt2770350,the eternal night of twelve moons,2013,BERLINALE,0
tt0054861,the exiles,2013,BERLINALE,0
tt1486834,the f word,2013,TIFF,0
tt1839642,the face of love,2013,TIFF,0
tt3091272,the fake,2013,TIFF,0
tt3005554,the fiction of the fix,2013,FRAMELINE,0
tt1837703,the fifth estate,2013,TIFF,0
tt2454430,the finishers,2013,TIFF,0
tt2190126,the first date,2013,FRAMELINE,0
tt2677200,a society,2013,CLERMONT-FERRAND,0
tt2623464,the first time,2013,BERLINALE,0
tt2146020,the fox and the chickadee,2013,CLERMONT-FERRAND,0
tt2766546,the fox who followed the sound,2013,BERLINALE,0
tt2182169,the fruit hunters,2012,IDFA,0
tt0017925,the general,2013,CANNES,0
tt1847746,the german doctor,2013,CANNES,0
tt1828124,a spell to ward off the darkness,2013,TIFF,0
tt2654562,the ghosts in our machine,2013,IDFA,0
tt2097930,the giant,2013,CLERMONT-FERRAND,0
tt2342750,the girl & the siren,2013,CLERMONT-FERRAND,0
tt2623502,the go doc project,2013,FRAMELINE,0
tt3254524,the good son,2013,IDFA,0
tt2319580,the grand seduction,2013,TIFF,0
tt1462900,the grandmaster,2013,BERLINALE,1
tt1343092,the great gatsby,2013,CANNES,1
tt2199377,the great rabbit,2012,BERLINALE,0
tt0002206,the great steel secret,2013,CLERMONT-FERRAND,0
tt2390219,a story for the modlins,2012,IDFA,0
tt2403021,the green inferno,2013,TIFF,0
tt2049559,the happy sad,2013,FRAMELINE,0
tt3394604,the horses of fukushima,2013,IDFA,0
tt1802529,the human experiment,2013,IDFA,0
tt0179544,the humiliated,2013,IDFA,0
tt2565650,the husband,2013,TIFF,0
tt1951181,the immigrant,2013,CANNES,0
tt3123178,the immoral,2013,TIFF,0
tt2447806,the infamous t,2013,FRAMELINE,0
tt2316929,a stranger,2013,BERLINALE,0
tt1700845,the invisible woman,2013,TIFF,1
tt2704560,the irresistible rise of moïse katumbi,2013,IDFA,0
tt1621180,the karski report,2013,BERLINALE,0
tt2802172,the kids from the port,2013,TIFF,0
tt2146788,the king's body,2013,TIFF,0
tt0055069,the ladies man,2013,CANNES,0
tt2598592,the lala road,2013,FRAMELINE,0
tt0245500,the land of the wandering souls,2013,IDFA,0
tt0070290,the last detail,2013,CANNES,0
tt0093389,the last emperor,2013,CANNES,0
tt0096337,a tale of the wind,2013,IDFA,0
tt0455590,the last king of scotland,2013,IDFA,0
tt2153985,the last marble,2013,CLERMONT-FERRAND,0
tt2400002,the last match,2013,FRAMELINE,0
tt2450440,the last of robin hood,2013,TIFF,0
tt0070299,the legend of paul and paula,2013,BERLINALE,0
tt2387513,the liberator,2013,TIFF,0
