Year,Film,FilmId,NomineeIds
2011,A Better Life,tt1554091,nm0065007
2011,The Descendants,tt1033575,nm0000123
2011,The Artist,tt1655442,nm0241121
2011,Tinker Tailor Soldier Spy,tt1340800,nm0000198
2011,Moneyball,tt1210166,nm0000093
2011,My Week with Marilyn,tt1655420,nm0000110
2011,Moneyball,tt1210166,nm1706767
2011,Warrior,tt1291584,nm0000560
2011,Beginners,tt1532503,nm0001626
2011,Extremely Loud & Incredibly Close,tt0477302,nm0001884
2011,Albert Nobbs,tt1602098,nm0000335
2011,The Help,tt1454029,nm0205626
2011,The Girl with the Dragon Tattoo,tt1568346,nm1913734
2011,The Iron Lady,tt1007029,nm0000658
2011,My Week with Marilyn,tt1655420,nm0931329
2011,The Artist,tt1655442,nm0067367
2011,The Help,tt1454029,nm1567113
2011,Bridesmaids,tt1478338,nm0565250
2011,Albert Nobbs,tt1602098,nm0005216
2011,The Help,tt1454029,nm0818055
2011,A Cat in Paris,tt1673702,nm0300944|nm0271246
2011,Chico & Rita,tt1235830,nm0874096|nm0973475
2011,Kung Fu Panda 2,tt1302011,nm0950775
2011,Puss in Boots,tt0448694,nm1844237
2011,Rango,tt1192628,nm0893659
2011,The Artist,tt1655442,nm0071879|nm0332481
2011,Harry Potter and the Deathly Hallows Part 2,tt1201607,nm0186023|nm0573328
2011,Hugo,tt0970179,nm0274721|nm0521302
2011,Midnight in Paris,tt1605783,nm0796740|nm0239571
2011,War Horse,tt1568911,nm0141437|nm0761227
2011,The Artist,tt1655442,nm0771526
2011,The Girl with the Dragon Tattoo,tt1568346,nm0188729
2011,Hugo,tt0970179,nm0724744
2011,The Tree of Life,tt0478304,nm0523881
2011,War Horse,tt1568911,nm0001405
2011,Anonymous,tt1521197,nm0160425
2011,The Artist,tt1655442,nm0108775
2011,Hugo,tt0970179,nm0694309
2011,Jane Eyre,tt1229822,nm0640445
2011,W.E.,tt1536048,nm0680218
2011,The Artist,tt1655442,nm0371890
2011,The Descendants,tt1033575,nm0668247
2011,Hugo,tt0970179,nm0000217
2011,Midnight in Paris,tt1605783,nm0000095
2011,The Tree of Life,tt0478304,nm0000517
2011,Hell and Back Again,tt1748043,nm3653362|nm0503631
2011,If a Tree Falls: A Story of the Earth Liberation Front,tt1787725,nm1903582|nm2014414
2011,Paradise Lost 3: Purgatory,tt2028530,nm0075666|nm0802501
2011,Pina,tt1440266,nm0000694|nm1868176
2011,Undefeated,tt1860355,nm1390562|nm2418675|nm4375657
2011,The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,tt1844056,nm4325872|nm0231000
2011,God Is the Bigger Elvis,tt2210633,nm1095640|nm1088893
2011,Incident in New Baghdad,tt1746180,nm0819011
2011,Saving Face,tt2140371,nm0432616|nm1581464
2011,The Tsunami and the Cherry Blossom,tt2028578,nm1013671|nm0141379
2011,The Artist,tt1655442,nm2691134|nm0371890
2011,The Descendants,tt1033575,nm0855188
2011,The Girl with the Dragon Tattoo,tt1568346,nm0062775|nm0908370
2011,Hugo,tt0970179,nm0774817
2011,Moneyball,tt1210166,nm0854403
2011,Bullhead,tt1821593,
2011,Footnote,tt1445520,
2011,In Darkness,tt1417075,
2011,Monsieur Lazhar,tt2011971,
2011,A Separation,tt1832382,
2011,Albert Nobbs,tt1602098,nm0180355|nm0425699|nm0612817
2011,Harry Potter and the Deathly Hallows Part 2,tt1201607,nm0240183|nm0460792|nm0866566
2011,The Iron Lady,tt1007029,nm0183418|nm0375187
2011,The Adventures of Tintin,tt0983193,nm0002354
2011,The Artist,tt1655442,nm0099753
2011,Hugo,tt0970179,nm0006290
2011,Tinker Tailor Soldier Spy,tt1340800,nm0407076
2011,War Horse,tt1568911,nm0002354
2011,The Muppets,tt1204342,nm1235366
2011,Rio,tt1436562,nm0005223|nm0113198|nm0308206
2011,The Artist,tt1655442,nm0486627
2011,The Descendants,tt1033575,nm0121724|nm0668247|nm0852591
2011,Extremely Loud & Incredibly Close,tt0477302,nm0748784
2011,The Help,tt1454029,nm0337676|nm0001060|nm0055431
2011,Hugo,tt0970179,nm0454752|nm0000217
2011,Midnight in Paris,tt1605783,nm0036981|nm1008264
2011,Moneyball,tt1210166,nm0006894|nm0395267|nm0000093
2011,The Tree of Life,tt0478304,nm0338320|nm0688361|nm0306890|nm0384294
2011,War Horse,tt1568911,nm0000229|nm0005086
2011,Dimanche/Sunday,tt1895334,nm4420977
2011,The Fantastic Flying Books of Mr. Morris Lessmore,tt1778342,nm0431622|nm1099141
2011,La Luna,tt1957945,nm1154836
2011,A Morning Stroll,tt1964446,nm1487762|nm1516583
2011,Wild Life,tt2097943,nm0285428|nm0863195
2011,Pentecost,tt1866218,nm0567945|nm2276885
2011,Raju,tt1819651,nm2020448|nm4269794
2011,The Shore,tt2201259,nm0313623|nm1599010
2011,Time Freak,tt1733689,nm1577772|nm0146592
2011,Tuba Atlantic,tt2061843,nm2523083
2011,Drive,tt0780504,nm0070489|nm0257905
2011,The Girl with the Dragon Tattoo,tt1568346,nm0460274
2011,Hugo,tt0970179,nm0830958|nm0311267
2011,Transformers: Dark of the Moon,tt1399103,nm0886399|nm0007321
2011,War Horse,tt1568911,nm0405232|nm0003977
2011,The Girl with the Dragon Tattoo,tt1568346,nm0662188|nm0783713|nm0460274|nm0675565
2011,Hugo,tt0970179,nm0281530|nm0585611
2011,Moneyball,tt1210166,nm0010426|nm0090580|nm0316102|nm0637085
2011,Transformers: Dark of the Moon,tt1399103,nm0751169|nm0838707|nm0352300|nm0222818
2011,War Horse,tt1568911,nm0003977|nm0625144|nm0426348|nm0934184
2011,Harry Potter and the Deathly Hallows Part 2,tt1201607,nm0121888|nm1316134|nm0124935|nm0724624
2011,Hugo,tt0970179,nm0499215|nm0930998|nm1322973|nm1639884
2011,Real Steel,tt0433035,nm0621716|nm0742603|nm0852199|nm1089828
2011,Rise of the Planet of the Apes,tt1318514,nm0504784|nm0501424|nm0925341|nm2280778
2011,Transformers: Dark of the Moon,tt1399103,nm0268141|nm1388484|nm0125056|nm0292594
2011,The Descendants,tt1033575,nm0668247|nm0269542|nm0711110
2011,Hugo,tt0970179,nm0517589
2011,The Ides of March,tt1124035,nm0000123|nm0381416|nm2802722
2011,Moneyball,tt1210166,nm0001873|nm0815070|nm3133181
2011,Tinker Tailor Soldier Spy,tt1340800,nm2091799|nm1661186
2011,The Artist,tt1655442,nm0371890
2011,Bridesmaids,tt1478338,nm1754239|nm1325419
