unique.id,imdb.id,title.mixed,prod.year,length.min,length,prod.country.1.en,prod.country.2.en,prod.country.3.en,prod.country.4.en,prod.country.5.en,prod.country.6.en,prod.country.7.en,regions.mena,regions.africa,regions.asia,regions.na,regions.eu,regions.la,regions.ocean,director.1,director.2,director.3,director.4,director.5,director.6,director.7,director.8,director.9,director.10,director.11,director.12,director.13,director.14,director.15,director.16,director.17,director.18,director.19,director.20,director.21,director.22,director.23,director.24,director.25,director.26,animt,doc,exp,fict,lgbtq,imdb.fest,retro.fest.sect,competition,genre,fest.first,fest.sect.first,sample.year.first,fest.show.delay.3year.and.more
1,tt2917506,a story of children and film,2013,101,41 min. or longer,United Kingdom,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Mark Cousins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,other films,1,0,0,other documentary,CANNES,Cannes Classics - Documentaries About Cinema,2013,0
10,tt2852460,bends,2013,96,41 min. or longer,China,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,"Lau, Flora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,TIFF,discovery: 2012,2012,0
100,tt0057494,a legend or was it?,1963,83,41 min. or longer,Japan,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,Keisuke Kinoshita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,BERLINALE,Forum,2013,1
1000,tt0032445,somewhere in the netherlands,1940,86,41 min. or longer,Netherlands,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Ludwig Berger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,1,0,other fiction,BERLINALE,Retrospective,2013,1
1001,tt3613002,song,2013,18,40 min. or shorter,United States,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Nathaniel Dorsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,other films,1,0,0,experimental fiction,TIFF,Wavelength,2013,0
1002,tt3003858,song from the forest,2013,97,41 min. or longer,Germany,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Michael Obert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,other films,1,0,1,other documentary,IDFA,IDFA Competition for Feature-Length Documentary,2013,0
1003,tt2408026,soongava—dance of the orchids,2012,85,41 min. or longer,Nepal,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,Subarna Thapa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,LGBT*Q films,1,0,0,other fiction,FRAMELINE,"World Cinema, Queer Asian Cinema",2013,0
1004,tt3091254,soul,2013,112,41 min. or longer,Taiwan,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,Chung Mong-Hong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,TIFF,Vanguard,2013,0
1005,tt2919050,soul food stories,2013,60,41 min. or longer,Bulgaria,Finland,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Tonislav Hristov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,other films,1,0,1,other documentary,IDFA,IDFA Competition for Mid-Length Documentary,2013,0
1006,tt3392412,sound of torture,2013,60,41 min. or longer,Israel,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,Keren Shayo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,other films,1,0,1,other documentary,IDFA,IDFA Competition for Mid-Length Documentary,2013,0
1007,tt3142242,south is nothing,2013,90,41 min. or longer,France,Italy,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Fabio Mollo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,TIFF,Discovery,2013,0
1008,tt2446726,southcliffe,2013,190,41 min. or longer,United Kingdom,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Sean Durkin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,0,0,0,other fiction,TIFF,Special Presentation,2013,0
1009,NA,space is a lonely place,2012,3,40 min. or shorter,United States,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Koyle Kendrick,Reel Queer Youth Filmmakers,Emmy Rodriguez,Jude Watson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,LGBT*Q films,0,0,0,other fiction,FRAMELINE,Shorts: Generations: Youth and Elders Making Movies,2013,0
101,tt2650954,a long and happy life,2013,77,41 min. or longer,Russia,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Boris Khlebnikov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,1,other fiction,BERLINALE,Competition,2013,0
1010,tt2447552,spooners,2012,14,40 min. or shorter,United States,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Bryan Horch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,LGBT*Q films,1,0,0,other fiction,FRAMELINE,Shorts: Fun in Boys Shorts,2013,0
1011,tt3123162,spring,2013,23,40 min. or shorter,United States,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Nathaniel Dorsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,other films,1,0,0,experimental fiction,TIFF,Wavelength,2013,0
1012,tt2642662,stab,2012,12,40 min. or shorter,France,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Clément Decaudin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,BERLINALE,Berlinale Shorts,2013,0
1013,NA,staging silence ii,2013,22,40 min. or shorter,Belgium,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Hans Op de Beeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,other films,0,0,0,other documentary,IDFA,IDFA Paradocs: Amsterdam Art Weekend at IDFA,2013,0
1014,tt2763624,"standing aside, watching",2013,90,41 min. or longer,Greece,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Yorgos Servetas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,TIFF,City to City: Athens,2013,0
1015,tt0487048,starfly,2005,19,40 min. or shorter,Luxembourg,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Beryl Koltz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,CLERMONT-FERRAND,Ouverture,2013,1
1016,tt2567712,starred up,2013,100,41 min. or longer,United Kingdom,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,David Mackenzie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,TIFF,Special Presentation,2013,0
1017,tt2324918,state 194,2012,98,41 min. or longer,United States,Israel,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,Dan Setton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,other films,1,0,0,other documentary,BERLINALE,Panorama,2013,0
1018,tt2234032,stay,2013,99,41 min. or longer,Canada,Ireland,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,Wiebke von Carolsfeld,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,TIFF,Contemporary World Cinema,2013,0
1019,tt2649748,stay positive,2013,8,40 min. or shorter,United States,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Robert Carnilius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,LGBT*Q films,0,0,0,other fiction,FRAMELINE,Shorts: Disclosure,2013,0
102,tt0062043,a man vanishes,1967,130,41 min. or longer,Japan,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,Shohei Imamura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,other films,1,0,0,other documentary,IDFA,IDFA Top 10,2013,1
1020,tt2652874,stemple pass,2012,121,41 min. or longer,United States,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,James Benning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,other films,1,0,0,experimental documentary,BERLINALE,Forum,2013,0
1021,tt1767323,step by step,1978,23,40 min. or shorter,Syria,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,Ossama Mohammed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,0,0,0,other fiction,BERLINALE,Berlinale Shorts,2013,1
1022,tt2668950,stepping on the flying grass,2012,79,41 min. or longer,Indonesia,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,Eugene Panji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,BERLINALE,Generation,2013,0
1023,tt2707380,stepsister,2013,18,40 min. or shorter,United States,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Joey Izzo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,CANNES,Cinéfondation,2013,0
1024,tt2448114,stigma,2012,27,40 min. or shorter,United States,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Phill Schwartz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,LGBT*Q films,0,0,0,other fiction,FRAMELINE,Shorts: Disclosure,2013,0
1025,NA,still waters,2012,14,40 min. or shorter,Israel,Palestinian Territories,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,Nir Sa'ar,Maya Sarfaty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,0,0,0,other fiction,CLERMONT-FERRAND,Water Project,2013,0
1026,tt3102458,story of my death,2013,148,41 min. or longer,Spain,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Albert Serra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,TIFF,Wavelength,2013,0
1027,tt3119416,stray dogs,2013,138,41 min. or longer,Taiwan,France,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,Tsai Ming-liang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,TIFF,Wavelength,2013,0
1028,tt2971994,stream of love,2013,70,41 min. or longer,Hungary,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Agnes Sós,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,other films,1,0,1,other documentary,IDFA,IDFA Competition for Feature-Length Documentary,2013,0
103,tt0026714,a midsummer night's dream,1935,117,41 min. or longer,United States,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Max Reinhardt,William Dieterle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,LGBT*Q films,1,1,0,other fiction,BERLINALE,Retrospective,2013,1
1030,tt3004842,subconscious password,2013,11,40 min. or shorter,Canada,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,Chris Landreth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,1,0,0,other fiction,TIFF,Short Cuts Canada,2013,0
1031,tt2447336,submerge,2012,97,41 min. or longer,Australia,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,Sophie O'Connor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,LGBT*Q films,1,0,0,other fiction,FRAMELINE,World Cinema; First Feature Award,2013,0
1032,tt2599786,summer vacation,2012,22,40 min. or shorter,Israel,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,Tal Granit,Sharon Maymon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,LGBT*Q films,1,0,0,other fiction,FRAMELINE,Shorts: Bi Candy ; Shorts: Worldly Affairs,2013,0
1033,tt2731546,sunflower seeds,2013,27,40 min. or shorter,Greece,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Antonis Tolakis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,other films,1,0,1,other documentary,IDFA,IDFA Competition for Kids & Docs,2013,0
1034,tt3242834,sunshine on leith,2013,100,41 min. or longer,United Kingdom,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Dexter Fletcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,other films,0,0,0,other fiction,TIFF,Special Presentation,2013,0
1035,NA,superjews,2013,66,41 min. or longer,Netherlands,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,Nirit Peled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,other films,0,0,0,other documentary,IDFA,IDFA Panorama,2013,0
1038,tt0296881,symbiopsychotaxiplasm: take one,1968,75,41 min. or longer,United States,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,William Greaves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,other films,1,0,0,other documentary,IDFA,IDFA Paradocs: Barbara Visser - The Making of Movies,2013,1
1039,tt2661940,tabato,2013,13,40 min. or shorter,Portugal,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,João Viana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,other films,1,0,0,other documentary,BERLINALE,Berlinale Shorts,2013,0
