imdb.id,title.mixed,sample.year.first,fest.first,,,,,
tt5437928,Colette,2018,TIFF,,,,,
tt5929754,Wildlife,2018,TIFF,,,,,
tt6662736,What They Had,2018,TIFF,,,,,manually collect this for 2018-2025
tt6952960,The Kindergarten Teacher,2018,TIFF,,,,,For the following festivales 
tt6205872,Assassination Nation,2018,TIFF,,,,,BERLINALE
tt7689906,Monsters and Men,2018,TIFF,,,,,CANNES
tt6704880,Girls of the Sun,2018,TIFF,,,,,CLERMONT-FERRAND
tt4964788,Everybody Knows,2018,TIFF,,,,,FRAMELINE
tt6543652,Cold War,2018,TIFF,,,,,IDFA
tt8269552,3 Faces,2018,TIFF,,,,,TIFF
tt8075192,Shoplifters,2018,TIFF,,,,,
tt6768578,Dogman,2018,TIFF,,,,,
tt6864046,Shadow,2018,TIFF,,,,,
tt6679794,Outlaw King,2018,TIFF,,,,,
tt6483364,Teen Spirit,2018,TIFF,,,,,
tt5795282,This Changes Everything,2018,TIFF,,,,,
tt7280898,22-Jul,2018,TIFF,,,,,
tt5989218,Life Itself,2018,TIFF,,,,,
tt1517451,A Star Is Born,2018,TIFF,,,,,
tt6388074,Viper Club,2018,TIFF,,,,,
tt1213641,First Man,2018,TIFF,,,,,
tt5117428,Wild Rose,2018,TIFF,,,,,
tt4042818,The Death & Life of John F. Donovan,2018,TIFF,,,,,
tt4951982,The Command,2018,TIFF,,,,,
tt7137380,Destroyer,2018,TIFF,,,,,
tt5859882,Vita & Virginia,2018,TIFF,,,,,
tt8726098,Too Late to Die Young,2018,TIFF,,,,,
tt6155172,Roma,2018,TIFF,,,,,
tt5960374,Vox Lux,2018,TIFF,,,,,
tt7282468,Burning,2018,TIFF,,,,,
tt7945440,The Lie,2018,TIFF,,,,,
tt6966692,Green Book,2018,TIFF,,,,,
tt4537896,White Boy Rick,2018,TIFF,,,,,
tt5613484,Mid90s,2018,TIFF,,,,,
tt8247470,Rosie,2018,TIFF,,,,,
tt7008872,Boy Erased,2018,TIFF,,,,,
tt4614612,Peterloo,2018,TIFF,,,,,
tt5460522,JT LeRoy,2018,TIFF,,,,,
tt6297258,Maya,2018,TIFF,,,,,
tt6485928,The Land of Steady Habits,2018,TIFF,,,,,
tt8781414,Freaks,2018,TIFF,,,,,
tt4971344,The Sisters Brothers,2018,TIFF,,,,,
tt8632862,Fahrenheit 11/9,2018,TIFF,,,,,
tt5057140,Hold the Dark,2018,TIFF,,,,,
tt3829266,The Predator,2018,TIFF,,,,,
tt4218572,Widows,2018,TIFF,,,,,
