imdb.id,title,mixedsample,year,firstfest,first
tt8689644,View title page for Hearts and Bones,,,TIFF 2019,Discovery Award
tt5905336,View title page for Stories from the Chestnut Woods,,,TIFF 2019,Discovery Award
tt10883740,View title page for Africa,,,TIFF 2019,Discovery Award
tt10260042,View title page for Antigone,,,TIFF 2019,Discovery Award
tt9143636,View title page for Guest of Honour,,,TIFF 2019,Discovery Award
tt10334456,View title page for Once Were Brothers,,,TIFF 2019,Discovery Award
tt9386648,View title page for Tammy's Always Dying,,,TIFF 2019,Discovery Award
tt8461156,View title page for The Last Porno Show,,,TIFF 2019,Discovery Award
tt8892632,View title page for Black Conflux,,,TIFF 2019,Discovery Award
tt3689484,View title page for Castle in the Ground,,,TIFF 2019,Discovery Award
tt5919756,View title page for Disappearance at Clifton Hill,,,TIFF 2019,Discovery Award
tt10655608,View title page for David Foster: Off the Record,,,TIFF 2019,Discovery Award
tt9057620,View title page for Easy Land,,,TIFF 2019,Discovery Award
tt4292432,View title page for Kuessipan,,,TIFF 2019,Discovery Award
tt9169036,View title page for White Lie,,,TIFF 2019,Discovery Award
tt8230872,View title page for The Body Remembers When the World Broke Open,,,TIFF 2019,Discovery Award
tt1657517,View title page for The Song of Names,,,TIFF 2019,Discovery Award
tt10874006,"View title page for Anne at 13,000 Ft.",,,TIFF 2019,Discovery Award
tt10864040,View title page for There's Something in the Water,,,TIFF 2019,Discovery Award
tt10441486,View title page for And the Birds Rained Down,,,TIFF 2019,Discovery Award
tt10793310,View title page for Coppers,,,TIFF 2019,Discovery Award
tt7969836,View title page for The Twentieth Century,,,TIFF 2019,Discovery Award
tt10475900,View title page for Murmur,,,TIFF 2019,Discovery Award
tt8359842,View title page for It Must Be Heaven,,,TIFF 2019,Discovery Award
tt9109492,View title page for American Woman,,,TIFF 2019,Discovery Award
tt10758534,View title page for One Day in the Life of Noah Piugattuk,,,TIFF 2019,Discovery Award
tt6489562,View title page for Sweetness in the Belly,,,TIFF 2019,Discovery Award
tt8584722,View title page for The Rest of Us,,,TIFF 2019,Discovery Award
