imdb.id,title,mixedsample,year,firstfest,first
tt5437928,Colette,,2018,,
tt5929754,Wildlife,,2018,,
tt6662736,What They Had,,2018,,
tt6952960,The Kindergarten Teacher,,2018,,
tt6205872,Assassination Nation,,2018,,
tt7689906,Monsters and Men,,2018,,
tt6704880,Girls of the Sun,,2018,,
tt4964788,Everybody Knows,,2018,,
tt6543652,Cold War,,2018,,
tt8269552,3 Faces,,2018,,
tt8075192,Shoplifters,,2018,,
tt6768578,Dogman,,2018,,
tt6864046,Shadow,,2018,,
tt6679794,Outlaw King,,2018,,
tt6483364,Teen Spirit,,2018,,
tt5795282,This Changes Everything,,2018,,
tt7280898,22 July,,2018,,
tt5989218,Life Itself,,2018,,
tt1517451,A Star Is Born,,2018,,
tt6388074,Viper Club,,2018,,
tt1213641,First Man,,2018,,
tt5117428,Wild Rose,,2018,,
tt4042818,The Death & Life of John F. Donovan,,2018,,
tt4951982,The Command,,2018,,
tt7137380,Destroyer,,2018,,
tt5859882,Vita & Virginia,,2018,,
tt8726098,Too Late to Die Young,,2018,,
tt6155172,Roma,,2018,,
tt5960374,Vox Lux,,2018,,
tt7282468,Burning,,2018,,
tt7945440,The Lie,,2018,,
tt6966692,Green Book,,2018,,
tt4537896,White Boy Rick,,2018,,
tt5613484,Mid90s,,2018,,
tt8247470,Rosie,,2018,,
tt7008872,Boy Erased,,2018,,
tt4614612,Peterloo,,2018,,
tt5460522,JT LeRoy,,2018,,
tt6297258,Maya,,2018,,
tt6485928,The Land of Steady Habits,,2018,,
tt8781414,Freaks,,2018,,
tt4971344,The Sisters Brothers,,2018,,
tt8632862,Fahrenheit 11/9,,2018,,
tt5057140,Hold the Dark,,2018,,
tt3829266,The Predator,,2018,,
tt4218572,Widows,,2018,,
tt7112154,Asako I & II,,2018,,
tt5501104,Border,,2018,,
tt2837574,The Old Man & the Gun,,2018,,
tt1226837,Beautiful Boy,,2018,,
tt6874254,Out of Blue,,2018,,
tt7074886,The Front Runner,,2018,,
tt5855772,Sunset,,2018,,
tt8267604,Capernaum,,2018,,
tt7464188,In Fabric,,2018,,
tt4595882,Can You Ever Forgive Me?,,2018,,
tt7125860,If Beale Street Could Talk,,2018,,
tt2368254,A Private War,,2018,,
tt1502407,Halloween,,2018,,
tt5580266,The Hate U Give,,2018,,
tt8286894,Rafiki,,2018,,
tt8449092,The Fireflies Are Gone,,2018,,
tt6386748,Birds of Passage,,2018,,
tt7298400,Ash Is Purest White,,2018,,
tt7318102,Angelo,,2018,,
tt7545524,Ben Is Back,,2018,,
tt7775622,Free Solo,,2018,,
tt2639336,Greta,,2018,,
tt7241926,Tell It to the Bees,,2018,,
tt8228538,Papi Chulo,,2018,,
tt6043142,Skin,,2018,,
tt5592796,Driven,,2018,,
tt7069496,Firecrackers,,2018,,
tt1235187,Where Hands Touch,,2018,,
tt6902696,Gloria Bell,,2018,,
tt5461944,Hotel Mumbai,,2018,,
tt5311542,Never Look Away,,2018,,
tt5149490,Gwen,,2018,,
tt4465572,American Woman,,2018,,
tt1127881,Farming,,2018,,
tt7942742,Her Smell,,2018,,
tt4827558,High Life,,2018,,
tt6866224,The Hummingbird Project,,2018,,
tt8811382,Meeting Gorbachev,,2018,,
tt7615302,Red Joan,,2018,,
tt7692966,The Third Wife,,2018,,
tt7645780,The Wedding Guest,,2018,,
tt8426594,The Wind,,2018,,
tt8819192,Women Make Film: A New Road Movie Through Cinema,,2018–,,
tt6365796,The Grizzlies,,2018,,
tt3208026,Black '47,,2018,,
tt3294746,The Public,,2018,,
