film.id,unique.id,sample.year,fest,fest.sect,imdb.id,title.mixed,prod.year,length.min,length,prod.country.1.en,prod.country.2.en,prod.country.3.en,prod.country.4.en,prod.country.5.en,prod.country.6.en,prod.country.7.en,regions.mena,regions.africa,regions.asia,regions.na,regions.eu,regions.la,regions.ocean,director.1,director.2,director.3,director.4,director.5,director.6,director.7,director.8,director.9,director.10,director.11,director.12,director.13,director.14,director.15,director.16,director.17,director.18,director.19,director.20,director.21,director.22,director.23,director.24,director.25,director.26,animt,doc,exp,fict,lgbtq,imdb.fest,retro.fest.sect,competition,genre,fest.first,fest.sect.first,sample.year.first,fest.show.delay.3year.and.more
f2081,1,2013,CANNES,Cannes Classics - Documentaries About Cinema,tt2917506,a story of children and film,2013.0,101.0,41 min. or longer,United Kingdom,,,,,,,0,0,0,0,1,0,0,Mark Cousins,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,other films,1,0,0,other documentary,CANNES,Cannes Classics - Documentaries About Cinema,2013,0.0
tffnew391,10,2012,TIFF,discovery: 2012,tt2852460,bends,2013.0,96.0,41 min. or longer,China,,,,,,,0,0,1,0,0,0,0,"Lau, Flora",,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,discovery: 2012,2012,0.0
f2023,10,2013,CANNES,Un Certain Regard,tt2852460,bends,2013.0,96.0,41 min. or longer,China,,,,,,,0,0,1,0,0,0,0,"Lau, Flora",,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,discovery: 2012,2012,0.0
f1160,100,2013,BERLINALE,Forum,tt0057494,a legend or was it?,1963.0,83.0,41 min. or longer,Japan,,,,,,,0,0,1,0,0,0,0,Keisuke Kinoshita,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,BERLINALE,Forum,2013,1.0
f1285,1000,2013,BERLINALE,Retrospective,tt0032445,somewhere in the netherlands,1940.0,86.0,41 min. or longer,Netherlands,,,,,,,0,0,0,0,1,0,0,Ludwig Berger,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,1,0,other fiction,BERLINALE,Retrospective,2013,1.0
f3255,1001,2013,TIFF,Wavelength,tt3613002,song,2013.0,18.0,40 min. or shorter,United States,,,,,,,0,0,0,1,0,0,0,Nathaniel Dorsky,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,other films,1,0,0,experimental fiction,TIFF,Wavelength,2013,0.0
f6232,1002,2013,IDFA,IDFA Competition for Feature-Length Documentary,tt3003858,song from the forest,2013.0,97.0,41 min. or longer,Germany,,,,,,,0,0,0,0,1,0,0,Michael Obert,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,other films,1,0,1,other documentary,IDFA,IDFA Competition for Feature-Length Documentary,2013,0.0
f5201,1003,2013,FRAMELINE,"World Cinema, Queer Asian Cinema",tt2408026,soongava—dance of the orchids,2012.0,85.0,41 min. or longer,Nepal,,,,,,,0,0,1,0,0,0,0,Subarna Thapa,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,LGBT*Q films,1,0,0,other fiction,FRAMELINE,"World Cinema, Queer Asian Cinema",2013,0.0
f3349,1004,2013,TIFF,Vanguard,tt3091254,soul,2013.0,112.0,41 min. or longer,Taiwan,,,,,,,0,0,1,0,0,0,0,Chung Mong-Hong,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,Vanguard,2013,0.0
f6233,1005,2013,IDFA,IDFA Competition for Mid-Length Documentary,tt2919050,soul food stories,2013.0,60.0,41 min. or longer,Bulgaria,Finland,,,,,,0,0,0,0,1,0,0,Tonislav Hristov,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,other films,1,0,1,other documentary,IDFA,IDFA Competition for Mid-Length Documentary,2013,0.0
f6234,1006,2013,IDFA,IDFA Competition for Mid-Length Documentary,tt3392412,sound of torture,2013.0,60.0,41 min. or longer,Israel,,,,,,,1,0,0,0,0,0,0,Keren Shayo,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,other films,1,0,1,other documentary,IDFA,IDFA Competition for Mid-Length Documentary,2013,0.0
f3138,1007,2013,TIFF,Discovery,tt3142242,south is nothing,2013.0,90.0,41 min. or longer,France,Italy,,,,,,0,0,0,0,1,0,0,Fabio Mollo,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,Discovery,2013,0.0
f17179,1007,2014,BERLINALE,Generation,tt3142242,south is nothing,2013.0,90.0,41 min. or longer,France,Italy,,,,,,0,0,0,0,1,0,0,Fabio Mollo,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,1,0,0,other fiction,TIFF,Discovery,2013,0.0
f3102,1008,2013,TIFF,Special Presentation,tt2446726,southcliffe,2013.0,190.0,41 min. or longer,United Kingdom,,,,,,,0,0,0,0,1,0,0,Sean Durkin,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,other films,0,0,0,other fiction,TIFF,Special Presentation,2013,0.0
