Film,FilmId,Nominations,Wins,In_Festival,Festivals,win_any_oscars
Sinners,tt31193180,16,0,FALSE,,FALSE
Gone with the Wind,tt0031381,15,10,FALSE,,TRUE
Titanic,tt0120338,14,11,FALSE,,TRUE
All about Eve,tt0042192,14,6,FALSE,,TRUE
La La Land,tt3783958,14,6,TRUE,TIFF,TRUE
Shakespeare in Love,tt0138097,13,7,FALSE,,TRUE
Chicago,tt0299658,13,6,FALSE,,TRUE
Who's Afraid of Virginia Woolf?,tt0061184,13,5,FALSE,,TRUE
One Battle after Another,tt30144839,13,0,FALSE,,FALSE
From Here to Eternity,tt0045793,13,8,FALSE,,TRUE
The Lord of the Rings: The Fellowship of the Ring,tt0120737,13,4,FALSE,,TRUE
Forrest Gump,tt0109830,13,6,FALSE,,TRUE
Oppenheimer,tt15398776,13,7,FALSE,,TRUE
Emilia Pérez,tt20221436,13,2,FALSE,,TRUE
Mary Poppins,tt0058331,13,5,FALSE,,TRUE
The Shape of Water,tt5580390,13,4,TRUE,TIFF,TRUE
The Curious Case of Benjamin Button,tt0421715,13,3,FALSE,,TRUE
Reds,tt0082979,12,3,FALSE,,TRUE
On the Waterfront,tt0047296,12,8,TRUE,BERLINALE,TRUE
Oliver!,tt0063385,12,6,FALSE,,TRUE
Dances With Wolves,tt0099348,12,7,FALSE,,TRUE
A Streetcar Named Desire,tt0044081,12,4,FALSE,,TRUE
The King's Speech,tt1504320,12,4,TRUE,BERLINALE,TRUE
Mrs. Miniver,tt0035093,12,6,FALSE,,TRUE
Gladiator,tt0172495,12,5,FALSE,,TRUE
Becket,tt0057877,12,1,FALSE,,TRUE
Johnny Belinda,tt0040495,12,1,FALSE,,TRUE
Schindler's List,tt0108052,12,7,FALSE,,TRUE
The Song of Bernadette,tt0036377,12,4,FALSE,,TRUE
My Fair Lady,tt0058385,12,8,FALSE,,TRUE
The Power of the Dog,tt10293406,12,1,FALSE,,TRUE
The English Patient,tt0116209,12,9,FALSE,,TRUE
Ben-Hur,tt0052618,12,11,FALSE,,TRUE
Lincoln,tt0443272,12,2,FALSE,,TRUE
The Revenant,tt1663202,12,3,FALSE,,TRUE
Poor Things,tt14230458,11,4,FALSE,,TRUE
