Ceremony,Year,Class,CanonicalCategory,Category,Film,FilmId,Name,Nominees,NomineeIds,Winner,Detail,Note,Citation
92,2019,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Pain and Glory,tt8291806,Antonio Banderas,Antonio Banderas,nm0000104,,Salvador,,
92,2019,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Once upon a Time...in Hollywood,tt7131622,Leonardo DiCaprio,Leonardo DiCaprio,nm0000138,,Rick Dalton,,
92,2019,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Marriage Story,tt7653254,Adam Driver,Adam Driver,nm3485845,,Charlie Barber,,
92,2019,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,Joker,tt7286456,Joaquin Phoenix,Joaquin Phoenix,nm0001618,True,Arthur Fleck,,
92,2019,Acting,ACTOR IN A LEADING ROLE,ACTOR IN A LEADING ROLE,The Two Popes,tt8404614,Jonathan Pryce,Jonathan Pryce,nm0000596,,Cardinal Jorge Bergoglio/Pope Francis,,
92,2019,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,A Beautiful Day in the Neighborhood,tt3224458,Tom Hanks,Tom Hanks,nm0000158,,Fred Rogers,,
92,2019,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,The Two Popes,tt8404614,Anthony Hopkins,Anthony Hopkins,nm0000164,,Cardinal Ratzinger/Pope Benedict,,
92,2019,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,The Irishman,tt1302006,Al Pacino,Al Pacino,nm0000199,,Jimmy Hoffa,,
92,2019,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,The Irishman,tt1302006,Joe Pesci,Joe Pesci,nm0000582,,Russell Bufalino,,
92,2019,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Once upon a Time...in Hollywood,tt7131622,Brad Pitt,Brad Pitt,nm0000093,True,Cliff Booth,,
92,2019,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Harriet,tt4648786,Cynthia Erivo,Cynthia Erivo,nm7248827,,Harriet/Minty,,
92,2019,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Marriage Story,tt7653254,Scarlett Johansson,Scarlett Johansson,nm0424060,,Nicole Barber,,
92,2019,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Little Women,tt3281548,Saoirse Ronan,Saoirse Ronan,nm1519680,,Jo March,,
92,2019,Acting,ACTRESS IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,Bombshell,tt6394270,Charlize Theron,Charlize Theron,nm0000234,,Megyn Kelly,,
